Niveau,Spécialité,Section,Jours,Créneaux,Module,Type,Groupe,Salle,Bloc,Prof
M2,SII,A,Dimanche,13:00-14:30,DMIN,TP,3,TP C6,Nouveau Bloc,HOUACINE
M2,SII,A,Dimanche,14:40-16:10,RCR 2,TD,1,TP C6,Nouveau Bloc,MOULAI
M2,SII,A,Dimanche,14:40-16:10,PR,TP,2,C3B,Nouveau Bloc,ISLI
M2,SII,A,Lundi,08:00-09:30,DMIN,TD,2,TP C7,Nouveau Bloc,DRIAS
M2,SII,A,Lundi,08:00-09:30,VA,TP,3,TP130,Fac Info,ABADA
M2,SII,A,Lundi,09:40-11:10,PR,TD,1,446,400,ISLI
M2,SII,A,Lundi,09:40-11:10,DMIN,TD,3,444,400,DRIAS
M2,SII,A,Lundi,11:20-12:50,DMIN,TD,1,410,400,DRIAS
M2,SII,A,Lundi,11:20-12:50,ANG,TD,2,,LABO LANG,ZENOUN
M2,SII,A,Lundi,13:00-14:30,TAD,Cours,0,149,100,TAMEN
M2,SII,A,Lundi,14:40-16:10,PR,Cours,0,salle de conference,Fac Info,ISLI
M2,SII,A,Mardi,08:00-09:30,VA,TP,1,TP127,Fac Info,ABADA
M2,SII,A,Mardi,08:00-09:30,RI,TP,2,TP132,Fac Info,KHENNAK
M2,SII,A,Mardi,08:00-09:30,PR,TP,3,TP C9,Nouveau Bloc,ISLI
M2,SII,A,Mardi,09:40-11:10,VA,TP,2,TP128,Fac Info,ABADA
M2,SII,A,Mardi,11:20-12:50,DMIN,Cours,0,238,200,DRIAS
M2,SII,A,Mardi,13:00-14:30,VA,Cours,0,C7,Nouveau Bloc,ABADA
M2,SII,A,Mardi,14:40-16:10,PR,TD,2,442,400,ISLI
M2,SII,A,Mercredi,08:00-09:30,RCR 2,Cours,0,149,100,KHELLAF
M2,SII,A,Mercredi,09:40-11:10,ANG,TD,3,,LABO LANG,ZENOUN
M2,SII,A,Mercredi,11:20-12:50,ANG,TD,1,,LABO LANG,ZENOUN
M2,SII,A,Mercredi,11:20-12:50,TAD,TP,2,C3B,Nouveau Bloc,TAMEN
M2,SII,A,Jeudi,08:00-09:30,TAD,TP,1,TP132,Fac Info,TAMEN
M2,SII,A,Jeudi,08:00-09:30,RI,TP,3,TP126,Fac Info,KHENNAK
M2,SII,A,Jeudi,09:40-11:10,RI,TP,1,TP126,Fac Info,KHENNAK
M2,SII,A,Jeudi,09:40-11:10,TAD,TP,3,TP132,Fac Info,TAMEN
L2,ISIL,A,Samedi,08:00-09:30,PROB/STAT,TD,1,389,300,CHAABANE
L2,ISIL,A,Samedi,09:40-11:10,PROB/STAT,TD,2,459,300,CHAABANE
L2,ISIL,A,Samedi,09:40-11:10,LOGIQUE,TD,3,TP C9,Nouveau Bloc,BELLALA
L2,ISIL,A,Samedi,11:20-12:50,ARCHI1,Cours,0,228T,200,DERBAL
L2,ISIL,A,Samedi,13:00-14:30,PROB/STAT,Cours,0,228T,200,CHAABANE
L2,ISIL,A,Samedi,14:40-16:10,PROB/STAT,TD,3,TP C9,Nouveau Bloc,CHAABANE
L2,ISIL,A,Dimanche,08:00-09:30,CALNUM,Cours,0,128T,100,BEHLOUL
L2,ISIL,A,Dimanche,09:40-11:10,ALGO2,Cours,0,128T,100,LAICHI
L2,ISIL,A,Dimanche,11:20-12:50,ALGO2,TP,3,TP127,Fac Info,LAICHI
L2,ISIL,A,Dimanche,13:00-14:30,ALGO2,TD,1,TP127,Fac Info,LAICHI
L2,ISIL,A,Dimanche,14:40-16:10,POO,Cours,0,R5,Nouveau Bloc,MEKAHLIA
L2,ISIL,A,Lundi,08:00-09:30,ARCHI1,TD,2,259,200,BOUCHENE
L2,ISIL,A,Lundi,08:00-09:30,SI1,TD,3,452,400,HEDJAZI-DELLAL
L2,ISIL,A,Lundi,09:40-11:10,SI1,TD,1,448,400,HEDJAZI-DELLAL
L2,ISIL,A,Lundi,09:40-11:10,LOGIQUE,TD,2,410,400,BELLALA
L2,ISIL,A,Lundi,09:40-11:10,ARCHI1,TD,3,259,200,BOUCHENE
L2,ISIL,A,Lundi,11:20-12:50,LOGIQUE,TD,1,320,300,BELLALA
L2,ISIL,A,Lundi,11:20-12:50,ARCHI1,TD,2,338,300,ayache
L2,ISIL,A,Lundi,11:20-12:50,CALNUM,TD,3,414,400,LAICHE
L2,ISIL,A,Lundi,13:00-14:30,SI1,Cours,0,431T,400,HEDJAZI-DELLAL
L2,ISIL,A,Lundi,14:40-16:10,SI1,TD,2,385,300,HEDJAZI-DELLAL
L2,ISIL,A,Mercredi,08:00-09:30,CALNUM,TD,1,118,100,BEHLOUL
L2,ISIL,A,Mercredi,08:00-09:30,ALGO2,TD,2,116,100,LAICHI
L2,ISIL,A,Mercredi,09:40-11:10,CALNUM,TD,2,118,100,BEHLOUL
L2,ISIL,A,Mercredi,09:40-11:10,ALGO2,TD,3,114,100,LAICHI
L2,ISIL,A,Mercredi,13:00-14:30,ALGO2,Cours,0,125T,100,LAICHI
L2,ISIL,A,Mercredi,14:40-16:10,LOGIQUE,Cours,0,125T,100,BELLALA
L2,ISIL,A,Jeudi,08:00-09:30,ALGO2,TP,1,TP127,Fac Info,UNKNOWN
L2,ISIL,A,Jeudi,08:00-09:30,POO,TP,2,TP128,Fac Info,UNKNOWN
L2,ISIL,A,Jeudi,09:40-11:10,POO,TP,1,TP127,Fac Info,UNKNOWN
L2,ISIL,A,Jeudi,09:40-11:10,ALGO2,TP,2,TP128,Fac Info,UNKNOWN
L2,ISIL,A,Jeudi,11:20-12:50,ARCHI1,TD,1,412,400,BOUCHENE
L2,ISIL,A,Jeudi,11:20-12:50,POO,TP,4,TP131,Fac Info,UNKNOWN
L2,ISIL,A,Jeudi,11:20-12:50,POO,TP,3,TP130,Fac Info,BOUCHENE
L2,ISIL,A,Jeudi,11:20-12:50,ALGO2,TP,4,TP131,Fac Info,UNKNOWN
M1,SSI,A,Dimanche,08:00-09:30,SYST,Cours,0,R3,Nouveau Bloc,BELKHIR
M1,SSI,A,Dimanche,09:40-11:10,VTBDA,Cours,0,E5,Nouveau Bloc,ALIMAZIGHI
M1,SSI,A,Dimanche,11:20-12:50,ARITH.MOD,TD,1,217,200,DAHMANI
M1,SSI,A,Dimanche,13:00-14:30,ASPECT JUR,Cours,0,E1,Nouveau Bloc,BERBAR
M1,SSI,A,Lundi,08:00-09:30,ARITH.MOD,Cours,0,117,100,DAHMANI
M1,SSI,A,Lundi,09:40-11:10,ARCH.RES,TP,1,126,100,ZAFOUNE
M1,SSI,A,Lundi,09:40-11:10,ARITH.MOD,TP,2,C3A,Nouveau Bloc,DAHMANI
M1,SSI,A,Lundi,11:20-12:50,ARCH.RES,Cours,0,117,100,ZAFOUNE
M1,SSI,A,Lundi,13:00-14:30,ANG,TD,1,,LABO LANG,
M1,SSI,A,Lundi,13:00-14:30,ARCH.RES,TP,2,TP126,Fac Info,ZAFOUNE
M1,SSI,A,Lundi,14:40-16:10,ANG,TD,2,,LABO LANG,
